id,text_snippet,labels,extracted_entities,ner_entities,final_entities
73,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
74,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
75,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
76,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
77,They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
78,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
79,The customer raised an objection about the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Competition, Pricing Discussion, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
80,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
81,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
82,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
83,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They appreciated the analytics and AI engine features.,"Positive, Security, Pricing Discussion","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
84,They appreciated the analytics and AI engine features.,Positive,"{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
85,The customer raised an objection about They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
86,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
87,the pricing model and asked for a discount. They mentioned CompetitorX as a cheaper alternative.,"Pricing Discussion, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
88,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
89,The customer raised an objection about the pricing model and asked for a discount.,"Objection, Pricing Discussion","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
90,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
91,The customer raised an objection about the pricing model and asked for a discount.,"Pricing Discussion, Objection","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
92,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling.,"Pricing Discussion, Security","{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
93,The customer raised an objection about,Objection,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
94,The customer raised an objection about They appreciated the analytics and AI engine features.,"Objection, Positive","{'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}","{'organizations': ['AI'], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': ['analytics', 'AI engine'], 'pricing_keywords': []}, 'ner_entities': {'organizations': ['AI'], 'dates': [], 'locations': []}}"
95,They mentioned CompetitorX as a cheaper alternative.,Competition,"{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
96,the pricing model and asked for a discount.,Pricing Discussion,"{'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
97,They inquired about SOC2 certification and data handling.,Security,"{'competitors': [], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': [], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
98,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Competition, Objection, Security","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
99,The customer raised an objection about They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Objection, Security, Competition","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': []}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
100,the pricing model and asked for a discount. They inquired about SOC2 certification and data handling. They mentioned CompetitorX as a cheaper alternative.,"Security, Competition, Pricing Discussion","{'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}","{'organizations': [], 'dates': [], 'locations': []}","{'dictionary_lookup': {'competitors': ['CompetitorX'], 'features': [], 'pricing_keywords': ['discount', 'pricing model']}, 'ner_entities': {'organizations': [], 'dates': [], 'locations': []}}"
